,0,S1,S2,S4,S5,S8,S11,S12,S13,S14,S15
1074,HERVIP10B3-int,584,574,932,533,510,548,669,837,1142,572
1075,MER34C2,181,100,300,143,165,109,155,152,151,171
1076,Charlie26a,157,89,197,60,171,103,58,101,127,152
1077,Cheshire,454,464,888,390,515,331,504,410,656,787
1078,L1ME2,4172,3925,7024,3924,5055,3507,4381,4246,5132,3336
1079,MER75B,0,30,22,11,1,70,14,8,5,41
1080,Charlie30a,325,430,262,198,542,449,362,328,296,291
1081,LTR7Y,318,194,232,247,267,142,210,129,105,149
1082,MSTD,1740,1449,2103,1301,1420,1105,1279,1398,1685,1126
1083,LTR1F2,150,92,164,80,118,56,91,64,108,80
1084,LTR1F1,37,4,20,27,20,43,37,4,43,0
1085,tRNA-Val-GTG,20,0,1,4,0,0,0,0,0,0
1086,HERVK9-int,481,372,624,455,390,362,425,391,357,396
1087,tRNA-Ser-AGY,0,0,0,8,0,0,0,0,0,0
1088,HERVIP10F-int,224,263,295,240,291,188,153,180,304,244
1089,HERV3-int,408,264,537,234,295,330,306,107,283,244
1090,U17,3575,2070,3487,1877,2876,1032,2078,1573,4599,2477
1091,MER92A,0,0,20,12,8,0,0,0,0,61
1092,UCON100,24,0,4,0,0,0,0,0,0,0
1093,MER70-int,37,77,80,70,78,34,56,69,138,63
1094,CR1-11_Crp,0,12,0,12,0,35,0,0,28,16
1095,UCON74,40,28,51,33,23,8,51,32,60,20
1096,AluJb,21970,17461,24948,17178,22882,15730,22132,19900,23708,15640
1097,AluSc5,725,585,676,600,720,442,683,776,792,618
1098,SATR1,2,32,127,36,29,7,25,6,52,91
1099,AluSc8,2921,2461,2880,1951,2846,2439,2862,2820,3018,2334
1100,L1PA10,2422,1721,3560,1936,2062,1569,1929,1874,2699,1863
1101,L1PA13,2339,2020,4081,2199,2458,1542,2488,2265,3015,2094
1102,L1PA12,1081,744,1201,644,869,645,720,647,721,624
1103,AluJo,13734,11439,14939,10189,13187,9521,13438,12397,13693,10034
1104,L1PA14,884,900,1539,768,887,832,828,871,1004,671
1105,AluYh3a3,80,81,71,84,78,29,95,88,85,91
1106,L1PA16,3342,3122,5691,3162,3668,2773,3068,3524,4555,2926
1107,HERVFH21-int,39,20,76,8,24,0,20,48,44,0
1108,L1MC,1511,1111,2319,1257,1580,952,1343,1179,1624,1189
1109,UCON65,0,0,0,0,0,0,0,0,0,0
