,0,S3,S6,S7,S9,S10
939,MLT1C-int,371,219,259,304,262
940,HY1,338,168,202,293,165
941,HY3,306,266,192,117,299
942,HY4,83,96,92,140,87
943,HY5,32,8,36,105,0
944,MamRep605,1898,1240,1241,1010,1026
945,tRNA-Thr-ACY,12,0,0,32,0
946,MER87,44,28,5,20,7
947,MER89,290,164,224,297,153
948,HUERS-P3b-int,762,478,297,351,277
949,MER133B,7,4,0,0,0
950,HERV9N-int,216,80,200,59,137
951,MER133A,0,4,0,0,0
952,Eulor5A,7,8,20,4,44
953,5S,585,742,511,1313,1052
954,Eulor5B,0,0,0,0,0
955,LTR19B,96,141,81,83,122
956,LTR19C,59,124,75,51,135
957,LTR19A,631,543,429,274,299
958,MLT1J2,1355,804,912,947,851
959,MamRep564,298,266,215,27,287
960,UCON28c,4,0,0,4,32
961,MLT1J1,905,452,591,665,525
962,UCON34,102,100,59,32,67
963,LTR2C,111,70,40,55,57
964,LTR2B,89,76,79,118,20
965,HAL1M8,1500,1079,1047,417,820
966,AluYi6,40,59,35,28,60
967,MSR1,95,110,81,107,84
968,Tigger8,318,275,227,101,148
969,LTR49-int,881,461,466,298,554
970,MER31-int,431,188,226,142,240
971,Tigger1,13965,8898,8738,6796,7681
972,tRNA-Ala-GCY_,0,0,16,0,11
973,Kanga1d,112,108,36,58,71
974,Tigger2,2846,1823,1761,778,1508
975,Kanga1b,144,76,72,80,36
976,Kanga1c,270,109,127,111,55
977,Tigger7,2051,1680,1679,947,1168
978,Kanga1a,285,188,137,84,169
979,L1M3b,183,92,84,154,100
980,UCON71,0,4,0,0,0
981,LTR10A,162,306,220,122,82
982,tRNA-Asp-GAY,8,11,4,0,17
983,LTR10C,333,204,214,186,199
984,LTR10B,0,0,31,4,32
985,LTR10E,118,45,106,9,85
986,LTR10D,127,51,31,63,61
987,LTR10G,24,21,20,0,14
988,AluY,10577,8821,9014,6416,7515
989,SATR2,94,81,83,182,84
990,LTR16D1,82,53,49,71,60
991,LTR16D2,24,46,32,65,40
992,L1M3a,302,156,291,46,173
993,MER57B1,289,120,182,154,115
994,UCON85,4,0,0,0,0
995,L2-1_AMi,578,307,386,301,335
996,MER57B2,331,208,252,143,191
997,MamSINE1,3637,3984,3271,2135,2694
998,UCON11,0,4,0,0,11
999,Tigger3a,2410,1733,1708,1796,1561
1000,HERVL40-int,718,331,568,342,515
1001,MER53,887,436,454,380,433
1002,MER50,356,196,337,321,306
1003,MER52-int,24,45,30,6,43
1004,UCON76,11,8,0,0,0
1005,Penelope1_Vert,337,273,368,396,318
1006,MER87B,76,76,16,4,39
1007,MamRep434,966,753,755,486,616
1008,HERVFH19-int,73,60,10,28,8
1009,L2-3_Crp,945,515,546,503,528
1010,HERVK14C-int,24,4,12,24,4
1011,HAL1ME,2645,1711,1652,1108,1250
1012,LTR28,28,47,32,3,16
1013,MLT1A1-int,320,123,136,213,219
1014,FLAM_C,5067,4150,3754,2393,2791
1015,LTR81AB,4,16,32,0,16
1016,FLAM_A,2900,2345,2489,1725,1870
1017,L1M6B,261,188,150,117,239
1018,MER121,82,34,37,142,63
1019,LTR37B,446,223,241,188,200
1020,LTR23,163,109,113,26,86
1021,LTR22,14,24,16,83,16
1022,LTR25,159,87,93,46,24
1023,LTR12,214,141,191,122,59
1024,LTR27,40,4,24,43,20
1025,LTR26,132,52,100,202,84
1026,LTR7A,22,5,23,6,3
1027,tRNA-Thr-ACG_,0,0,0,0,0
1028,LTR6A,163,193,241,130,114
1029,LTR37A,302,171,127,135,76
1030,L1ME3Cz,5113,3751,3081,1721,2682
1031,MER92D,87,32,36,24,0
1032,MER4E1,260,183,182,106,137
1033,MLT1O,1092,691,869,857,831
1034,U8,16,4,0,0,0
1035,U5,43,16,12,0,0
1036,MER125,28,20,12,0,12
1037,U7,136,51,20,4,52
1038,HAL1b,1511,919,738,519,742
1039,U1,205,182,192,301,217
1040,U3,5954,4929,4763,12536,5874
1041,LTR24,103,152,120,155,59
1042,MLT2B1,500,317,452,271,266
1043,MER1A,1722,1207,1247,1277,1019
1044,MER57A1,275,146,139,82,177
1045,MER127,63,68,54,72,24
1046,MLT1A0-int,384,141,199,178,257
1047,LTR86A1,280,144,150,98,151
1048,LTR86A2,30,47,53,28,38
1049,MER126,97,35,37,11,87
1050,tRNA-Arg-CGA_,0,0,0,0,0
1051,MER9a1,62,34,48,43,90
1052,Charlie16a,717,562,453,397,498
1053,MER9a3,309,189,178,299,225
1054,MER63A,588,398,525,627,482
1055,MER63C,112,149,163,68,64
1056,MER51C,92,35,45,63,32
1057,MER63D,473,291,305,241,228
1058,MLT2C1,517,406,270,407,355
1059,UCON97,8,0,0,0,0
1060,MLT2B5,20,4,12,24,4
1061,MLT-int,80,157,100,107,88
1062,MLT2B4,796,512,467,475,377
1063,AluSq4,678,556,333,359,383
1064,AluSq2,9732,7573,7513,5881,6182
1065,MLT1F1-int,122,169,76,76,40
1066,MER94B,166,108,95,126,16
1067,Tigger20a,679,482,398,325,297
1068,U2,389,584,357,710,350
1069,Charlie7a,554,396,371,84,220
1070,MER45A,556,440,379,331,251
1071,UCON15,4,0,4,0,0
1072,MLT1E1A-int,16,24,76,0,72
1073,MERX,178,72,67,148,64
1074,HERVIP10B3-int,801,713,619,537,427
1075,MER34C2,156,279,167,168,178
1076,Charlie26a,203,101,137,68,193
1077,Cheshire,763,554,557,282,531
1078,L1ME2,6636,4328,4245,2872,3459
1079,MER75B,40,21,17,7,11
1080,Charlie30a,411,396,532,278,374
1081,LTR7Y,208,168,182,121,119
1082,MSTD,2149,1249,1370,1254,1074
1083,LTR1F2,107,142,80,86,99
1084,LTR1F1,64,16,32,31,24
1085,tRNA-Val-GTG,2,0,0,0,12
1086,HERVK9-int,763,445,455,338,575
1087,tRNA-Ser-AGY,8,4,4,0,19
1088,HERVIP10F-int,510,180,205,231,136
1089,HERV3-int,379,324,251,151,252
1090,U17,2418,2301,1948,5852,2060
1091,MER92A,0,20,0,27,11
1092,UCON100,0,4,0,0,0
1093,MER70-int,120,120,164,98,73
1094,CR1-11_Crp,12,4,4,0,4
1095,UCON74,115,24,39,43,43
1096,AluJb,25748,21208,20840,16216,17130
1097,AluSc5,815,705,785,735,507
1098,SATR1,54,28,49,0,8
1099,AluSc8,3499,2708,2890,2084,2345
1100,L1PA10,3086,1954,1934,1291,1645
1101,L1PA13,3617,2084,2365,2223,1951
1102,L1PA12,1014,986,781,786,441
1103,AluJo,16178,12052,12465,9809,10026
1104,L1PA14,1437,980,959,739,739
1105,AluYh3a3,82,150,51,39,92
1106,L1PA16,5329,3232,2915,1946,3013
1107,HERVFH21-int,39,24,36,44,4
1108,L1MC,2224,1259,1352,953,1279
1109,UCON65,0,4,0,0,0
1110,UCON64,8,12,0,0,0
1111,UCON63,0,0,0,0,0
1112,LTR43,72,64,79,14,68
1113,L1MD,3092,2448,2059,1944,1697
1114,MLT1J,4347,3115,3066,3325,2840
1115,MLT1N2,831,688,527,602,643
1116,UCON28a,0,4,4,4,0
1117,UCON28b,12,0,0,8,0
1118,LSU-rRNA_Hsa,6856,7318,3422,9214,8729
1119,MLT1H2-int,119,40,48,28,24
1120,HERVL18-int,539,220,272,401,228
1121,tRNA-Phe-TTY,16,0,8,0,0
1122,tRNA-Thr-ACA,0,0,0,4,4
1123,MSTB2-int,25,29,20,0,0
1124,MamRep137,1123,963,956,421,690
1125,MER66B,576,461,491,798,385
1126,MER83,103,136,124,68,116
1127,MER91A,458,455,514,577,512
1128,MIR1_Amn,3958,2508,2515,2060,2535
1129,MER45R,47,32,32,27,24
1130,MER4D0,227,184,198,68,116
1131,BLACKJACK,552,305,355,178,238
1132,MLT1A1,1917,1143,1142,1089,976
1133,MLT1A0,5537,3840,3894,3353,3233
1134,L2-3_AMi,0,0,0,0,0
1135,HERVL-int,1852,1140,1339,1770,1062
1136,MER91C,290,235,301,184,198
1137,L1MA5,2412,1473,1593,969,1298
1138,MLT1N2-int,56,8,12,8,23
1139,U6,457,311,232,132,196
1140,X7B_LINE,271,146,133,109,200
1141,L1M2a,1144,821,933,563,633
1142,MamRep1879,298,224,161,287,335
1143,L1M2c,290,250,270,181,246
1144,L1M2b,135,64,12,44,8
1145,CR1-8_Crp,0,0,0,0,0
1146,LTR22A,82,23,45,22,24
1147,HERV-Fc1-int,9,1,4,0,0
1148,AluSz6,9117,7694,7161,5346,5941
1149,L1PA8A,1357,748,776,642,840
1150,MER68B,255,170,183,59,140
1151,MER68C,12,24,44,8,16
1152,MER83C,40,23,25,44,13
1153,MER50C,51,44,48,26,40
1154,AluYd8,24,14,13,9,14
1155,MER52A,675,443,647,916,574
1156,tRNA-Trp-TGG,0,0,0,0,0
1157,MER52C,47,152,96,52,24
1158,L1M2,3997,2760,2663,1619,2250
1159,L1M3,2160,1235,1161,851,1002
1160,L2c,72507,49222,52161,45897,46961
1161,L1M1,4411,2379,2129,1715,1928
1162,L1M6,1036,817,746,599,652
1163,L1M7,1223,799,625,354,617
1164,L1M4,9972,6209,6443,3274,5016
1165,L1M5,17398,11450,10804,6082,8197
1166,MLT1G,894,338,477,467,426
1167,MLT1F,1610,1166,1389,1021,908
1168,L1M8,640,513,406,275,391
1169,MLT1D,7410,4673,4904,4737,4542
1170,MLT1C,6294,4434,4501,4618,4506
1171,MLT1B,8421,6857,7214,12952,6623
1172,MLT1A,2610,1737,1815,1915,1414
1173,tRNA-Ser-TCA_m_,254,253,326,65,123
1174,MER4A1,575,658,626,816,478
1175,UCON99,4,0,0,0,0
1176,Looper,298,303,179,64,279
1177,UCON92,0,0,0,0,0
1178,MLT1B-int,574,332,430,334,331
1179,LTR9B,254,176,346,355,162
1180,LTR9C,28,36,36,0,0
1181,LTR9D,197,93,94,170,34
1182,UCON22,0,12,16,0,0
1183,UCON94,16,0,12,12,0
1184,MADE1,578,361,330,202,467
1185,MADE2,652,516,571,472,473
1186,AluSp,8406,7308,7514,5531,5852
1187,AluSq,3700,2924,3501,2668,2829
1188,PABL_A-int,284,236,244,45,157
1189,LTR33C,124,80,96,124,135
1190,tRNA-Lys-AAG,40,12,20,52,32
1191,AluSx,21578,18288,18861,15710,13878
1192,AluSz,18555,15454,15545,12173,12178
1193,Ricksha_b,68,37,48,42,0
1194,PABL_B,156,58,48,114,77
1195,Charlie20a,265,155,203,70,123
1196,L1MEh,741,551,473,381,349
1197,L1MEi,1381,905,718,753,518
1198,L1MEj,741,378,411,399,350
1199,AluSc,6703,5942,5772,5039,4733
1200,L1MEd,7054,4178,3837,2384,3477
1201,tRNA-Gly-GGA,39,16,48,35,20
1202,Charlie23a,349,231,218,194,155
1203,L1MEg,4967,3181,2471,1658,2477
1204,LTR7B,304,207,277,169,223
1205,L1MEa,90,84,28,104,88
1206,L1MEb,879,483,423,256,391
1207,L1MEc,7978,5355,4381,3048,4255
1208,LTR76,207,143,129,178,75
1209,LTR77,23,6,4,0,0
1210,LTR101_Mam,363,254,183,258,220
1211,LTR75,121,134,152,90,124
1212,LTR47A,193,152,83,106,132
1213,AluYc3,171,72,104,62,47
1214,LTR70,237,286,216,89,225
1215,LTR47B,0,0,4,0,8
1216,tRNA-Glu-GAG,0,0,0,0,0
1217,Tigger3d,300,420,316,141,225
1218,Tigger3c,777,588,654,553,586
1219,MLT1E1A,844,629,522,502,459
1220,LTR78,888,480,516,471,637
1221,LTR79,675,456,486,558,549
1222,tRNA-Tyr-TAC,0,4,0,0,4
1223,LTR67B,800,546,664,476,551
1224,MSTA1-int,0,19,0,0,0
1225,MER113A,686,610,353,504,408
1226,MER113B,253,159,257,96,75
1227,tRNA-Glu-GAG_,190,36,100,319,122
1228,MamRep1527,179,74,98,134,32
1229,MER1B,2765,1810,2175,2223,2064
1230,LTR1B1,48,16,17,8,0
1231,LTR1B0,47,0,13,26,64
1232,LTR37-int,507,402,327,188,257
1233,Harlequin-int,696,380,505,377,391
1234,LTR88a,91,148,60,153,36
1235,tRNA-Ala-GCG,7,4,0,0,0
1236,L1ME5,1239,699,750,436,490
1237,HERV16-int,265,234,160,125,148
1238,L1ME1,18994,12710,11620,7088,9871
1239,CR1-L3B_Croc,12,0,0,0,20
1240,L1ME3,4866,3219,2819,2157,2805
1241,MSTC-int,116,52,52,32,96
1242,L1PBa1,282,277,195,141,153
1243,LTR43-int,17,49,44,24,20
1244,LTR7C,202,290,234,238,200
1245,tRNA-Ala-GCY,0,0,8,0,0
1246,L1MA5A,1616,993,850,610,711
1247,LTR5_Hs,327,290,290,181,184
1248,MER5A,11802,8816,8223,6695,7451
1249,REP522,33,5,2,0,1
1250,AmnSINE1,1562,1775,1564,1339,1234
1251,X7D_LINE,4,12,0,0,0
1252,AmnSINE2,190,161,187,165,55
1253,Tigger3b,3320,2197,2507,1858,2077
1254,MSTB-int,574,387,400,740,419
1255,MLT1L-int,20,4,28,4,0
1256,L1PA3,2033,1221,1095,803,1181
1257,MamRep1894,48,103,60,51,48
1258,UCON20,0,0,0,0,0
1259,MER57E2,8,0,20,0,8
1260,MER99,63,64,32,4,20
1261,UCON50,20,4,0,0,32
1262,CRP1,0,0,8,0,0
1263,UCON44,0,0,12,0,4
1264,MLT1O-int,0,0,0,0,0
1265,MLT1H,3078,1783,1917,1803,1654
1266,UCON47,76,88,72,44,60
